date,tourist,pc_Siguniang,mob_Siguniang,pc_SichuanEpidemic,mob_SichuanEpidemic,time_idx,weekday,year,month,day,destination,Trend,Seasonal,Resid
2020-04-28,470,707,1148,131,556,28,Monday,2020,4,28,SiGuniang,560.5404501,901.7312585,2507.728291
2020-04-29,501,841,1437,129,550,29,Tuesday,2020,4,29,SiGuniang,654.796823,902.6051031,2443.598074
2020-04-30,674,863,1823,139,572,30,Wednesday,2020,4,30,SiGuniang,764.2601769,880.3183576,2529.421465
2020-05-01,4014,366,2161,112,852,31,Thursday,2020,5,1,SiGuniang,743.7305541,938.8280715,5831.441374
2020-05-02,5400,355,2225,89,770,32,Friday,2020,5,2,SiGuniang,685.9246276,1244.384548,6969.690824
2020-05-03,5400,344,1885,101,630,33,Saturday,2020,5,3,SiGuniang,681.5033961,1262.632298,6955.864306
2020-05-04,5400,357,1591,89,501,34,Sunday,2020,5,4,SiGuniang,681.4812069,879.3495055,7339.169288
2020-05-05,1896,279,1160,101,416,35,Monday,2020,5,5,SiGuniang,693.1150122,899.4615569,3803.423431
2020-05-06,553,512,946,140,413,36,Tuesday,2020,5,6,SiGuniang,669.0697917,884.1905827,2499.739626
2020-05-07,496,366,948,83,376,37,Wednesday,2020,5,7,SiGuniang,600.9572574,860.481247,2534.561496
2020-05-08,373,456,989,97,365,38,Thursday,2020,5,8,SiGuniang,582.046678,926.7656067,2364.187715
2020-05-09,454,364,915,110,312,39,Friday,2020,5,9,SiGuniang,576.0710957,1316.553295,2061.375609
2020-05-10,479,236,959,78,366,40,Saturday,2020,5,10,SiGuniang,572.9283054,1271.300667,2134.771028
2020-05-11,347,395,911,133,483,41,Sunday,2020,5,11,SiGuniang,569.3573234,851.8924621,2425.750214
2020-05-12,553,447,885,110,454,42,Monday,2020,5,12,SiGuniang,572.3993822,898.5466412,2582.053977
2020-05-13,451,405,895,125,429,43,Tuesday,2020,5,13,SiGuniang,590.1167401,864.2401096,2496.64315
2020-05-14,464,380,902,104,384,44,Wednesday,2020,5,14,SiGuniang,604.9664002,842.5837805,2516.449819
2020-05-15,536,397,907,95,370,45,Thursday,2020,5,15,SiGuniang,614.9103416,910.7669261,2510.322732
2020-05-16,1002,219,905,87,370,46,Friday,2020,5,16,SiGuniang,621.2794358,1389.08719,2491.633374
2020-05-17,909,225,946,78,352,47,Saturday,2020,5,17,SiGuniang,618.2302507,1275.641269,2515.12848
2020-05-18,445,385,894,97,374,48,Sunday,2020,5,18,SiGuniang,608.6311121,831.3332662,2505.035622
2020-05-19,2185,347,899,85,307,49,Monday,2020,5,19,SiGuniang,594.4204224,902.8839781,4187.6956
2020-05-20,538,330,860,112,291,50,Tuesday,2020,5,20,SiGuniang,575.2092016,845.4232897,2617.367509
2020-05-21,342,391,905,85,280,51,Wednesday,2020,5,21,SiGuniang,557.4581956,828.8230275,2455.718777
2020-05-22,413,453,934,399,992,52,Thursday,2020,5,22,SiGuniang,543.1100034,898.5458913,2471.344105
2020-05-23,1482,323,964,108,539,53,Friday,2020,5,23,SiGuniang,532.9841954,1412.914885,3036.10092
2020-05-24,734,285,958,129,833,54,Saturday,2020,5,24,SiGuniang,533.7714734,1291.043619,2409.184907
2020-05-25,325,577,1045,267,906,55,Sunday,2020,5,25,SiGuniang,548.6599979,830.9325473,2445.407455
2020-05-26,454,470,919,139,591,56,Monday,2020,5,26,SiGuniang,583.5646679,904.534701,2465.900631
2020-05-27,430,529,956,137,468,57,Tuesday,2020,5,27,SiGuniang,640.3714296,831.4165937,2458.211977
2020-05-28,472,403,925,127,376,58,Wednesday,2020,5,28,SiGuniang,698.2118431,814.7971815,2458.990975
2020-05-29,815,434,946,106,360,59,Thursday,2020,5,29,SiGuniang,740.4303375,887.8702185,2686.699444
2020-05-30,1503,243,955,101,464,60,Friday,2020,5,30,SiGuniang,766.7375731,1431.54044,2804.721987
2020-05-31,1206,264,957,85,299,61,Saturday,2020,5,31,SiGuniang,786.8454652,1311.034122,2608.120412
2020-06-01,685,389,898,631,1635,62,Sunday,2020,6,1,SiGuniang,807.4673557,837.5169763,2540.015668
2020-06-02,498,428,914,304,960,63,Monday,2020,6,2,SiGuniang,820.7296072,897.1690082,2280.101385
2020-06-03,526,423,901,176,786,64,Tuesday,2020,6,3,SiGuniang,828.5129713,824.6998186,2372.78721
2020-06-04,580,433,910,135,556,65,Wednesday,2020,6,4,SiGuniang,840.2029227,813.8603581,2425.936719
2020-06-05,777,416,945,172,719,66,Thursday,2020,6,5,SiGuniang,856.9636833,874.5798518,2545.456465
2020-06-06,1573,270,958,87,448,67,Friday,2020,6,6,SiGuniang,882.6693334,1435.522695,2754.807971
2020-06-07,1278,253,959,91,430,68,Saturday,2020,6,7,SiGuniang,914.1441652,1308.380706,2555.475128
2020-06-08,706,515,934,209,848,69,Sunday,2020,6,8,SiGuniang,938.3940525,856.6264159,2410.979532
2020-06-09,886,417,947,200,699,70,Monday,2020,6,9,SiGuniang,949.4321219,889.6027631,2546.965115
2020-06-10,767,490,954,197,586,71,Tuesday,2020,6,10,SiGuniang,945.5265345,825.088485,2496.38498
2020-06-11,820,487,946,150,539,72,Wednesday,2020,6,11,SiGuniang,928.7441188,826.0043143,2565.251567
2020-06-12,774,473,951,121,475,73,Thursday,2020,6,12,SiGuniang,907.6190611,860.9482175,2505.432721
2020-06-13,1887,279,950,152,864,74,Friday,2020,6,13,SiGuniang,878.6636689,1427.253484,3081.082847
2020-06-14,1639,239,976,193,923,75,Saturday,2020,6,14,SiGuniang,838.1815948,1291.910667,3008.907738
2020-06-15,673,430,946,865,2329,76,Sunday,2020,6,15,SiGuniang,790.9231483,877.5746096,2504.502242
2020-06-16,764,448,906,929,3071,77,Monday,2020,6,16,SiGuniang,741.4053413,889.2951838,2633.299475
2020-06-17,496,467,884,858,2964,78,Tuesday,2020,6,17,SiGuniang,692.3828995,825.6269977,2477.990103
2020-06-18,402,392,890,476,2212,79,Wednesday,2020,6,18,SiGuniang,653.1339368,836.786792,2412.079271
2020-06-19,383,354,903,592,1961,80,Thursday,2020,6,19,SiGuniang,625.5887998,855.437229,2401.973971
2020-06-20,875,262,890,250,1331,81,Friday,2020,6,20,SiGuniang,603.8830345,1413.545577,2357.571389
2020-06-21,923,243,921,222,999,82,Saturday,2020,6,21,SiGuniang,596.8471387,1284.858119,2541.294742
2020-06-22,576,532,938,563,1255,83,Sunday,2020,6,22,SiGuniang,607.4857629,894.8751929,2573.639044
2020-06-23,462,555,960,561,1378,84,Monday,2020,6,23,SiGuniang,610.2860943,900.1630784,2451.550827
2020-06-24,755,684,1222,324,1096,85,Tuesday,2020,6,24,SiGuniang,598.4956644,827.1988943,2829.305441
2020-06-25,2831,234,1112,146,930,86,Wednesday,2020,6,25,SiGuniang,568.7478384,846.5664255,4915.685736
2020-06-26,4260,231,996,180,915,87,Thursday,2020,6,26,SiGuniang,532.1413217,854.7546658,6373.104013
2020-06-27,936,299,969,162,888,88,Friday,2020,6,27,SiGuniang,502.8917445,1359.695675,2573.41258
2020-06-28,88,471,918,257,870,89,Saturday,2020,6,28,SiGuniang,477.4571784,1288.897342,1821.645479
2020-06-29,319,440,889,323,1016,90,Sunday,2020,6,29,SiGuniang,438.2528615,915.7226451,2465.024493
2020-06-30,192,381,891,257,959,91,Monday,2020,6,30,SiGuniang,403.402945,920.10967,2368.487385
2020-07-01,210,414,874,157,843,92,Tuesday,2020,7,1,SiGuniang,372.243756,834.5862437,2503.17
2020-07-02,327,448,914,179,850,93,Wednesday,2020,7,2,SiGuniang,350.7908964,855.7332583,2620.475845
2020-07-03,123,344,893,166,828,94,Thursday,2020,7,3,SiGuniang,345.3498755,852.7408341,2424.90929
2020-07-04,649,218,903,116,688,95,Friday,2020,7,4,SiGuniang,348.7202419,1298.087164,2502.192594
2020-07-05,476,239,919,139,855,96,Saturday,2020,7,5,SiGuniang,354.5244456,1285.618527,2335.857027
2020-07-06,334,417,890,175,782,97,Sunday,2020,7,6,SiGuniang,359.4632785,937.1091651,2537.427556
2020-07-07,312,377,884,194,854,98,Monday,2020,7,7,SiGuniang,362.9914077,940.6004541,2508.408138
2020-07-08,271,380,896,137,652,99,Tuesday,2020,7,8,SiGuniang,363.1614396,843.2371529,2564.601408
2020-07-09,272,394,903,162,808,100,Wednesday,2020,7,9,SiGuniang,363.4524945,863.3361941,2545.211311
2020-07-10,741,350,899,173,678,101,Thursday,2020,7,10,SiGuniang,368.2841267,857.1662472,3015.549626
2020-07-11,552,260,898,118,604,102,Friday,2020,7,11,SiGuniang,372.6916187,1252.396738,2426.911643
2020-07-12,364,257,971,99,582,103,Saturday,2020,7,12,SiGuniang,374.9442464,1277.361846,2211.693908
2020-07-13,351,372,927,127,571,104,Sunday,2020,7,13,SiGuniang,378.6951463,953.2560201,2519.048834
2020-07-14,351,436,900,129,506,105,Monday,2020,7,14,SiGuniang,394.3953913,953.9120252,2502.692584
2020-07-15,277,395,898,131,558,106,Tuesday,2020,7,15,SiGuniang,424.5910946,846.146268,2506.262637
2020-07-16,294,423,895,133,607,107,Wednesday,2020,7,16,SiGuniang,452.7180792,868.890387,2472.391534
2020-07-17,412,358,920,158,840,108,Thursday,2020,7,17,SiGuniang,472.5335961,871.3628487,2568.103555
